Property + Unit +Room	Property	Unit	Room
1700 Arapahoe Street, Los Angeles, CA, USA RM1	1700 Arapahoe Street, Los Angeles, CA, USA		1
1700 Arapahoe Street, Los Angeles, CA, USA RM6	1700 Arapahoe Street, Los Angeles, CA, USA		6
1702 1/2 Arapahoe Street, Los Angeles, CA, USA RM4	1702 1/2 Arapahoe Street, Los Angeles, CA, USA		4
1702 1/2 Arapahoe Street, Los Angeles, CA, USA RM3	1702 1/2 Arapahoe Street, Los Angeles, CA, USA		3
1702 1/2 Arapahoe Street, Los Angeles, CA, USA RM1	1702 1/2 Arapahoe Street, Los Angeles, CA, USA		1
1702 1/2 Arapahoe Street, Los Angeles, CA, USA RM2	1702 1/2 Arapahoe Street, Los Angeles, CA, USA		2
1702 1/2 Arapahoe Street, Los Angeles, CA, USA RM5	1702 1/2 Arapahoe Street, Los Angeles, CA, USA		5
1702 Arapahoe Street, Los Angeles, CA, USA RM2	1702 Arapahoe Street, Los Angeles, CA, USA		2
1702 Arapahoe Street, Los Angeles, CA, USA RM6	1702 Arapahoe Street, Los Angeles, CA, USA		6
1702 Arapahoe Street, Los Angeles, CA, USA RM3	1702 Arapahoe Street, Los Angeles, CA, USA		3
1702 Arapahoe Street, Los Angeles, CA, USA RM4	1702 Arapahoe Street, Los Angeles, CA, USA		4
1702 Arapahoe Street, Los Angeles, CA, USA RM5	1702 Arapahoe Street, Los Angeles, CA, USA		5
1702 Arapahoe Street, Los Angeles, CA, USA RM1	1702 Arapahoe Street, Los Angeles, CA, USA		1
1735 1/2 Magnolia Avenue, Los Angeles, CA, USA RMWhole Unit	1735 1/2 Magnolia Avenue, Los Angeles, CA, USA		Whole Unit
2642 Brighton Avenue, Los Angeles, CA, USA 101RM103	2642 Brighton Avenue, Los Angeles, CA, USA	101	103
2642 Brighton Avenue, Los Angeles, CA, USA 101RM203	2642 Brighton Avenue, Los Angeles, CA, USA	101	203
2642 Brighton Avenue, Los Angeles, CA, USA 101RM202	2642 Brighton Avenue, Los Angeles, CA, USA	101	202
2642 Brighton Avenue, Los Angeles, CA, USA 201RM202	2642 Brighton Avenue, Los Angeles, CA, USA	201	202
2642 Brighton Avenue, Los Angeles, CA, USA 101RM102	2642 Brighton Avenue, Los Angeles, CA, USA	101	102
2642 Brighton Avenue, Los Angeles, CA, USA 101RM201	2642 Brighton Avenue, Los Angeles, CA, USA	101	201
2909 Kenwood Avenue, Los Angeles, CA, USA RM1	2909 Kenwood Avenue, Los Angeles, CA, USA		1
2909 Kenwood Avenue, Los Angeles, CA, USA RM6	2909 Kenwood Avenue, Los Angeles, CA, USA		6
2909 Kenwood Avenue, Los Angeles, CA, USA RM4	2909 Kenwood Avenue, Los Angeles, CA, USA		4
2909 Kenwood Avenue, Los Angeles, CA, USA RM5	2909 Kenwood Avenue, Los Angeles, CA, USA		5
